name,value
Melbourne,242
Brunswick,134
Richmond (Vic.),105
Carlton,89
East Melbourne,87
St Kilda,83
Fitzroy North,83
Fitzroy,79
Collingwood,67
Carlton North - Princes Hill,65
North Melbourne,59
Albert Park,59
Brighton (Vic.),59
Southbank,58
Prahran - Windsor,57
Northcote,54
South Yarra - East,54
Kew,52
Parkville,45
Footscray,42
South Yarra - West,37
Abbotsford,37
Sandringham - Black Rock,37
Coburg,36
South Melbourne,34
Preston,34
Brunswick East,33
Caulfield - North,33
Mordialloc - Parkdale,33
Hawthorn,30
Elwood,29
Yarra - North,29
St Kilda East,26
Balwyn,26
Dandenong,26
Mornington,25
Port Melbourne,24
Caulfield - South,24
Oakleigh - Huntingdale,24
Williamstown,24
Thornbury,23
Essendon - Aberfeldie,23
Flemington,23
Moonee Ponds,22
Rosebud - McCrae,22
Camberwell,20
Malvern - Glen Iris,20
Toorak,19
Hampton,19
Carnegie,19
