name,value
Dandenong,20
Caulfield - North,13
Pakenham - South,10
Caroline Springs,10
Mornington,10
Camberwell,9
Bentleigh East,9
Mentone,9
Oakleigh - Huntingdale,9
Rosebud - McCrae,9
Croydon,8
Ringwood East,8
Mooroolbark,8
Cranbourne North,8
Narre Warren South,8
Noble Park,8
Deer Park - Derrimut,8
Essendon - Aberfeldie,7
Kew,7
Cheltenham - Highett (East),7
Cranbourne,7
Melton,7
Frankston,7
Malvern - Glen Iris,6
Preston,6
Glenroy - Hadfield,6
Broadmeadows,6
Boronia - The Basin,6
Ferntree Gully,6
Berwick - North,6
Narre Warren,6
Hampton Park - Lynbrook,6
Melton South,6
Hoppers Crossing - North,6
Werribee,6
Northcote,5
Thornbury,5
Melbourne,5
Albert Park,5
Fitzroy North,5
Richmond (Vic.),5
Balwyn,5
Brighton (Vic.),5
Cheltenham - Highett (West),5
Hampton,5
Bentleigh - McKinnon,5
Eltham,5
Meadow Heights,5
Ringwood,5
Lilydale - Coldstream,5
