name,value
Melbourne,19
Malvern - Glen Iris,16
Bentleigh - McKinnon,15
Dandenong,15
Frankston,15
Coburg,14
Preston,14
Brunswick,12
Richmond (Vic.),12
Doncaster East,12
Camberwell,11
Caulfield - North,11
Oakleigh - Huntingdale,11
St Albans - South,11
Thornbury,10
Essendon - Aberfeldie,10
Moonee Ponds,10
Prahran - Windsor,10
Altona North,10
Brunswick East,9
North Melbourne,9
Kew,9
Elsternwick,9
Glenroy - Hadfield,9
Springvale,9
Footscray,9
Carlton,8
St Kilda,8
Brighton (Vic.),8
Carnegie,8
Noble Park,8
Clayton,8
Sunshine,8
Northcote,7
Toorak,7
Hawthorn,7
Box Hill,7
Sandringham - Black Rock,7
Bentleigh East,7
Caulfield - South,7
Cheltenham - Highett (East),7
Viewbank - Yallambie,7
Ringwood East,7
Mitcham (Vic.),7
East Melbourne,6
Doncaster,6
Lalor,6
Croydon,6
Williamstown,6
South Melbourne,5
