name,value
Ormond - Glen Huntly,45737.6046
Fitzroy,33522.53
Parkville,24599.8857
Niddrie - Essendon West,23830.0407
South Melbourne,21664.6488
Maribyrnong,19006.0181
Truganina,17229.3555
Surrey Hills (East) - Mont Albert,16418.2653
Murrumbeena,16132.6355
Melbourne,14294.7384
Watsonia,13961.6685
Taylors Hill,13526.6569
Lynbrook - Lyndhurst,11594.0001
Springvale South,11298.3391
Elsternwick,10399.1866
Hawthorn East,10051.1423
West Footscray - Tottenham,10042.9369
Mill Park - South,9524.4925
Skye - Sandhurst,9270.3551
Tullamarine,8935.7239
Ivanhoe East - Eaglemont,8735.7483
Yarraville,8562.9387
Moonee Ponds,8525.5598
Rowville - North,8382.78
North Melbourne,8305.3854
Fitzroy North,7728.9972
Prahran - Windsor,7643.1614
Carlton North - Princes Hill,7540.2972
Kew East,7257.4846
Nunawading,7218.6986
St Kilda,7111.7447
Bundoora - West,7072.8402
Richmond (Vic.),6351.1442
Pascoe Vale,6343.2873
Noble Park North,5803.3644
Roxburgh Park - Somerton,5653.935
Box Hill North,5548.1215
Meadow Heights,5441.022
Port Melbourne,5381.3809
St Albans - South,5297.0955
Surrey Hills (West) - Canterbury,5269.6014
Ringwood East,4973.2848
Sandringham - Black Rock,4930.1951
Malvern - Glen Iris,4828.1589
Chelsea Heights,4747.8291
Narre Warren South,4728.4285
Flemington,4724.8439
St Kilda East,4680.4583
Sunshine North,4502.6573
Malvern East,4501.148
