name,value
Bunyip - Garfield,6
Emerald - Cockatoo,6
Hillside,6
Lalor,5
Koo Wee Rup,5
Dandenong,5
Sunshine West,5
Frankston North,5
St Kilda,4
Epping,4
Whittlesea,4
Broadmeadows,4
Melton,4
Laverton,4
Werribee,4
Werribee - South,4
Hastings - Somers,4
Somerville,4
Pascoe Vale South,3
Richmond (Vic.),3
Kew,3
Burwood East,3
Brighton East,3
Cheltenham - Highett (East),3
Ivanhoe,3
Preston,3
Mill Park - North,3
Thomastown,3
Craigieburn - Mickleham,3
Melbourne Airport,3
Ringwood East,3
Mitcham (Vic.),3
Belgrave - Selby,3
Healesville - Yarra Glen,3
Lilydale - Coldstream,3
Pakenham - South,3
Berwick - South,3
Noble Park,3
Glen Waverley - East,3
Deer Park - Derrimut,3
Keilor Downs,3
Sunshine North,3
Dromana,3
Brunswick,2
Northcote,2
Carlton,2
East Melbourne,2
North Melbourne,2
South Yarra - West,2
Southbank,2
