name,value
Melbourne,99
Richmond (Vic.),62
Emerald - Cockatoo,57
South Yarra - East,56
Dandenong,56
Healesville - Yarra Glen,51
Yarra Valley,50
Preston,45
Carlton,43
North Melbourne,43
Malvern - Glen Iris,43
Brunswick,42
Southbank,41
Footscray,40
Coburg,35
East Melbourne,35
St Kilda,34
Prahran - Windsor,33
Hawthorn,32
Upper Yarra Valley,29
Camberwell,28
Kew,28
Epping,28
Thomastown,28
Deer Park - Derrimut,28
Parkville,26
Ringwood,26
Northcote,25
South Melbourne,25
Panton Hill - St Andrews,25
Essendon - Aberfeldie,24
Craigieburn - Mickleham,24
Pascoe Vale South,23
Albert Park,23
Fitzroy,23
Fitzroy North,23
Mount Dandenong - Olinda,23
Belgrave - Selby,22
Oakleigh - Huntingdale,22
Toorak,21
Glenroy - Hadfield,21
Hampton Park - Lynbrook,21
Campbellfield - Coolaroo,20
Boronia - The Basin,20
Lilydale - Coldstream,20
Altona North,20
Laverton,20
Ferntree Gully,19
Endeavour Hills,19
Melton,19
