SA2_NAME,High_Sever
Dandenong,188
Melbourne,186
Richmond (Vic.),105
Southbank,96
Preston,96
St Kilda,90
Brunswick,82
Campbellfield - Coolaroo,81
North Melbourne,78
Footscray,74
Epping,70
Yarra Valley,70
Clayton,70
Deer Park - Derrimut,70
Emerald - Cockatoo,69
Coburg,68
Laverton,68
Brighton (Vic.),66
Frankston,66
Thomastown,65
Carlton,64
Kew,63
Prahran - Windsor,62
Caulfield - North,62
Glenroy - Hadfield,62
Healesville - Yarra Glen,62
Mulgrave,62
Keilor,61
Werribee,61
Malvern - Glen Iris,60
Croydon,60
Oakleigh - Huntingdale,60
East Melbourne,59
Somerville,59
Lilydale - Coldstream,58
Keysborough,58
Altona North,58
Fitzroy North,57
St Albans - South,56
Parkville,53
Narre Warren,53
Noble Park,53
Springvale,53
Frankston North,53
Seaford (Vic.),53
Albert Park,52
Broadmeadows,52
Craigieburn - Mickleham,52
Ferntree Gully,51
Melton,51
