name,total_pop
South Morang,38321
Craigieburn - Mickleham,34318
Point Cook,32413
Preston,29925
Werribee,29741
Croydon,29597
Narre Warren South,28594
Noble Park,28377
Ferntree Gully,28076
Glenroy - Hadfield,27775
Doncaster East,27046
Epping,26856
Richmond (Vic.),26121
Caroline Springs,26069
Bentleigh East,25924
Dandenong,25923
Narre Warren,25882
Endeavour Hills,25503
Boronia - The Basin,25052
Coburg,24976
Essendon - Aberfeldie,24762
Reservoir - East,24692
Keilor East,24244
Sunbury - South,24215
Hampton Park - Lynbrook,23769
Kew,23587
Berwick - South,22987
Reservoir - West,22940
Northcote,22919
Eltham,22802
Brunswick,22763
St Kilda,22550
Langwarrin,22498
Mornington,22421
Berwick - North,22251
Deer Park - Derrimut,22193
Tarneit,21976
Dandenong North,21910
Frankston,21583
Pakenham - South,21348
Brighton (Vic.),21257
Bentleigh - McKinnon,20883
Glen Waverley - East,20723
Hawthorn,20705
Mooroolbark,20690
Pascoe Vale,20659
Cheltenham - Highett (East),20365
Thomastown,20330
Hastings - Somers,20299
