name,value
Laverton,22
Dandenong,19
Altona North,19
Port Melbourne Industrial,18
Campbellfield - Coolaroo,17
Southbank,16
Malvern - Glen Iris,14
Keilor,14
Deer Park - Derrimut,13
West Melbourne,12
Sunshine West,12
Malvern East,10
Rockbank - Mount Cottrell,10
Broadmeadows,9
Oakleigh - Huntingdale,9
Newport,9
Yarraville,9
Thomastown,8
Gladstone Park - Westmeadows,8
Mount Waverley - South,8
Glenroy - Hadfield,7
Koo Wee Rup,7
Dandenong North,6
Sunshine North,6
Footscray,6
Port Melbourne,5
South Melbourne,5
Richmond (Vic.),5
Moorabbin - Heatherton,5
Yarra Valley,5
Wheelers Hill,5
West Footscray - Tottenham,5
East Melbourne,4
Melbourne,4
Kew,4
Braeside,4
Heidelberg - Rosanna,4
Fawkner,4
Roxburgh Park - Somerton,4
Tullamarine,4
Lilydale - Coldstream,4
Mulgrave,4
Williamstown,4
Werribee - South,4
Docklands,3
Parkville,3
Abbotsford,3
Yarra - North,3
Brighton East,3
Bentleigh East,3
