name,value
Melbourne,530
Dandenong,447
Preston,280
Richmond (Vic.),266
Brunswick,236
Southbank,236
Malvern - Glen Iris,204
East Melbourne,201
Coburg,200
North Melbourne,196
St Kilda,195
Campbellfield - Coolaroo,194
Epping,189
Footscray,181
Carlton,176
Clayton,176
Thomastown,175
Oakleigh - Huntingdale,175
Caulfield - North,168
Kew,158
South Yarra - East,155
Laverton,153
Croydon,152
Essendon - Aberfeldie,151
Narre Warren,151
Mulgrave,147
Frankston,147
Fitzroy North,143
Broadmeadows,140
Deer Park - Derrimut,139
Heidelberg - Rosanna,138
Altona North,138
Camberwell,136
Brighton (Vic.),136
Glenroy - Hadfield,136
Ringwood,134
South Melbourne,133
Dandenong North,133
Prahran - Windsor,132
Parkville,131
Malvern East,130
Berwick - North,128
Fitzroy,127
Springvale,124
Keilor,121
Abbotsford,120
Ferntree Gully,119
Frankston North,119
Lilydale - Coldstream,118
Hampton Park - Lynbrook,118
